customer_id,customer_name,currency_id,currency_code,current,days_1-15,days_16-30,days_31-45,days_above-45,total,fcy_total,contact.CF.SALESMAN,contact.CF.ROUTE,contact.CF.ROUTE DAY
4035182000000165254,"786 Tyre Works , Renigunta",4035182000000000099,INR,0.00,56425.00,0.00,0.00,0.00,56425.00,56425.00,NETHAJI,RENIGUNTA,SATURDAY
4035182000002497163,A M Automobiles COD - Chandragiri,4035182000000000099,INR,0.00,0.00,0.00,6160.00,4320.00,10480.00,10480.00,NETHAJI,CHANDRAGIRI,SATURDAY
4035182000000165337,"Abujaar Auto Spares, Mpl",4035182000000000099,INR,0.00,0.00,0.00,0.00,10000.84,10000.84,10000.84,RAJESH,MADANAPALLE,THURSDAY
4035182000003488536,ADHITYOL LUBRICANTS,4035182000000000099,INR,0.00,34652.00,0.00,0.00,2200.00,36852.00,36852.00,VINOD,TIRUPATI,TUESDAY
4035182000000197292,"AGC TYRE WORKS , SKHT",4035182000000000099,INR,0.00,7433.00,0.00,0.00,210.00,7643.00,7643.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000003500631,"Ahammad Auto Work, Tpt",4035182000000000099,INR,0.00,46255.00,0.00,0.00,0.00,46255.00,46255.00,NETHAJI,TIRUPATI,FRIDAY
4035182000000165508,Aisha Enterprises Bangarupalem,4035182000000000099,INR,0.00,0.00,0.00,0.00,49.00,49.00,49.00,CHIRANJEEVI,BANGARUPALEM,MONDAY
4035182000030384331,"AKBAR AUTO MOBILES , SKHT",4035182000000000099,INR,0.00,4960.00,0.00,0.00,0.00,4960.00,4960.00,VINOD,SRIKALAHASTHI,WEDNESDAY
4035182000028170558,"ALI HYDER SPARE PARTS, KALICHERLA",4035182000000000099,INR,0.00,15068.00,0.00,0.00,0.00,15068.00,15068.00,RAJESH,GURRAMKONDA,TUESDAY
4035182000000696005,ALLIED BLENDERS AND DISTILLERS LIMITED,4035182000000000099,INR,0.00,0.00,32450.00,0.00,0.00,32450.00,32450.00,SRINIVAS,HYDERABAD,MONDAY
4035182000004799053,Amara Raja Energy & Mobility Limited,4035182000000000099,INR,84252.00,108784.00,0.00,0.00,4291.81,197327.81,197327.81,SRINIVAS,TIRUPATI,MONDAY
4035182000027622564,"AMBASSADOR AUTOMOBILES, MPL",4035182000000000099,INR,0.00,0.00,0.00,0.00,7519.00,7519.00,7519.00,RAJESH,MADANAPALLE,THURSDAY
4035182000000196950,"Ambika automobiles, chandragiri",4035182000000000099,INR,0.00,0.00,0.00,3.00,0.00,3.00,3.00,NETHAJI,CHANDRAGIRI,SATURDAY
4035182000000204554,"AMEER ENTERPRISES , TPT",4035182000000000099,INR,0.00,0.00,0.00,0.00,1601.00,1601.00,1601.00,SHAHEEN,TIRUPATI,FRIDAY
4035182000026495100,"Ammer puncher shop, Tirupati",4035182000000000099,INR,0.00,36020.00,0.00,0.00,0.00,36020.00,36020.00,VINOD,TIRUPATI,MONDAY
4035182000000165679,"AMS Auto mobiles  , palamnr COD",4035182000000000099,INR,0.00,0.00,0.00,0.00,10312.00,10312.00,10312.00,CHIRANJEEVI,PALAMANER,MONDAY
4035182000000165757,Annapurna Traders Skht,4035182000000000099,INR,0.00,12800.00,0.00,0.00,0.00,12800.00,12800.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000000165845,"Anu Tyres & Automobiles, Mulakalacheruvu",4035182000000000099,INR,0.00,0.00,0.00,0.00,5583.00,5583.00,5583.00,RAJESH,MULAKALACHERUVU,FRIDAY
4035182000000165933,AP Agro Industries Developement Corporation Limited,4035182000000000099,INR,0.00,0.00,0.00,0.00,6829.00,6829.00,6829.00,SHAHEEN,TIRUPATI,MONDAY
4035182000000166021,ARBINA TYRE WORLD PILER,4035182000000000099,INR,0.00,0.00,14561.00,36547.00,0.00,51108.00,51108.00,NETHAJI,PILER,THURSDAY
4035182000006502462,"ARHAAN AUTO MOBILES , KALLUR",4035182000000000099,INR,0.00,16164.00,9714.00,2101.00,0.00,27979.00,27979.00,VINOD,KALLUR,THURSDAY
4035182000003363126,ARIZ SPARE PARTS - KANDURU,4035182000000000099,INR,0.00,0.00,13125.00,0.00,0.00,13125.00,13125.00,VINOD,KONDUR,THURSDAY
4035182000000166192,Arunachalam Auto Mobiles Tpt,4035182000000000099,INR,0.00,32737.00,0.00,4.00,0.00,32741.00,32741.00,VINOD,TIRUPATI,TUESDAY
4035182000023513681,ASHOK PUNCTURE SHOP TIRUPATI,4035182000000000099,INR,0.00,0.00,39979.00,2196.00,0.00,42175.00,42175.00,VINOD,TIRUPATI,MONDAY
